#Contracts,total,net_version,eth_sendRawTransaction,eth_getTransactionReceipt,eth_getTransactionCount,eth_getTransactionByHash,eth_getCode,eth_getBlockByNumber,eth_getBalance,eth_gasPrice,eth_estimateGas,eth_chainId,eth_blockNumber
1,27,4,1,1,1,1,1,8,1,2,2,1,3
2,45,4,2,2,1,2,2,15,2,4,4,1,4
3,63,4,3,3,1,3,3,22,3,6,6,1,5
4,81,4,4,4,1,4,4,29,4,8,8,1,6
5,99,4,5,5,1,5,5,36,5,10,10,1,7
6,117,4,6,6,1,6,6,43,6,12,12,1,8
7,135,4,7,7,1,7,7,50,7,14,14,1,9
8,153,4,8,8,1,8,8,57,8,16,16,1,10
9,171,4,9,9,1,9,9,64,9,18,18,1,11
10,189,4,10,10,1,10,10,71,10,20,20,1,12
11,207,4,11,11,1,11,11,78,11,22,22,1,13
12,225,4,12,12,1,12,12,85,12,24,24,1,14
13,243,4,13,13,1,13,13,92,13,26,26,1,15
14,261,4,14,14,1,14,14,99,14,28,28,1,16
15,279,4,15,15,1,15,15,106,15,30,30,1,17
16,297,4,16,16,1,16,16,113,16,32,32,1,18
17,317,4,17,17,1,17,17,122,17,34,34,1,19
18,337,4,18,18,1,18,18,131,18,36,36,1,20
19,357,4,19,19,1,19,19,140,19,38,38,1,21
20,375,4,20,20,1,20,20,147,20,40,40,1,22
21,395,4,21,21,1,21,21,156,21,42,42,1,23
22,417,4,22,22,1,22,22,167,22,44,44,1,24
23,435,4,23,23,1,23,23,174,23,46,46,1,25
24,455,4,24,24,1,24,24,183,24,48,48,1,26
25,473,4,25,25,1,25,25,190,25,50,50,1,27
